RAEKE+LB (fixed),KSP+LB (fixed)
0.624692487,0.807592471
0.727694262,0.79228535
0.687691516,0.830611283
0.850864506,0.84787611
0.762471077,0.783952138
0.771149711,0.857205263
0.814482032,0.814482032
0.811081314,0.796567858
0.827543062,0.815777124
0.789137821,0.823847365
0.837879554,0.828032099
0.838377909,0.864716941
0.5629832,0.492857676
0.849360736,0.827620971
0.769049274,0.811063741
0.804303778,0.804303778
0.823190611,0.760433044
0.761651992,0.829168966
0.768635977,0.818835092
0.608147844,0.737088649
0.843638302,0.833437246
0.786864089,0.658525719
0.845613578,0.845613578
0.812015191,0.826744082
0.856609339,0.846188829
0.667685096,0.816920317
0.812481987,0.804438048
0.753730919,0.812931651
0.788840126,0.777511748
0.657328233,0.719965065
0.830732755,0.808676958
0.70832914,0.834693952
0.818568153,0.835914848
0.879914176,0.865347518
